comment,label
预备知识稍微有点欠缺，不过总体上老说是超好的课程，我很喜欢这种从原理讲起的课,0
闪退，已学课程不能记录,0
内容完善全面，师生互动增强学习交流,1
还可以吧，看完的视频没有进度,0
内容丰富，讲解透彻，超级喜欢,1
照着ppt读？给喵爬,0
点击左下角的“开始”图标、“所有程序”、“附件”、“截图工具”。　　2、右键单击“截图工具”，选择“发送到”、“桌面快捷方式”。　　3、在桌面上右击“截图工具”的图标，选择“属性”，在“截图工具属性”对话框中，点击“快捷方式”选项卡，再点击这个选项卡页面上“快捷键”设置的位置，默认会出现“Ctrl Alt ”，可以在后面加上任意字母键或数字键，如“Ctrl Alt X”，点击应,1
老师讲的很精彩，但是实在有些难懂。,0
很好，老师水平高，易听懂,1
老师讲课通俗易懂，讲案简介明了，重点突出，很容易就懂了,1
单元测试截止时间不一样？！,0
哈工大超优秀，战神超优秀,1
为什么给我这么低分，全部视频都看完了,0
老师辛苦了，非常棒的课程。,1
还是不理解为什么三月底就要期末？老师又不讲，第一遍就没学清楚，快速的几轮翻滚学有什么意义？,0
照本宣科，讲得特别无聊。而且为了蹭课时费这一门课里的讲课老师太多了，几乎一章换一位老师，部分老师的声线听着难受。。。总之如果没有学分需求，不建议外校的听。,0
感觉自身的逻辑能力变强了，思维更加活跃,1
老师说话不清晰,0
老师都很棒！就是有时候有一些siban（hh就是希望有时候不要照着念呀！）,0
很棒，学到了很多。,1
受益匪浅 收获颇丰,1
课程测验和作业不提醒，0点是什么意思，根本就是在坑学生，每天学习任务那么重，有时候登上去纠结束了,0
【和越科技】专业团队运营 纯人工代挂 安全稳定如果你还在担心成绩不高？没时间挂课，挂不完吗？请交给我，一切问题都可以解决！超星尔雅 待看视频   作业   考试 全包 品质保证 包售后安全、效率、保证无不良需要的联系企鹅 【845500906】v信【heyuewangke】,1
学到了好多东西！老师授课超级棒！,1
完美错过小测时间，为啥不早点发布通知，无语凝噎,0
对原著理解偏差很大；理解浅薄，极不深刻。不知《易》，不足以言古代兵法。《易》是灵魂，这些兵法只是皮毛。不知《易》，讲出来的都是空虚。很抱歉，我想对祖先留下的遗产负责。,0
这门课教会了我计算机基础操作。,1
作业没办法做啊，添答案怎么输入,0
本门课程主讲刘教授的讲解过程很透彻，对于知识重点部分讲解细致到位，很容易通过他的讲解弄懂相关计算机各部件的重难点知识。十分推荐！,1
课程很好，能学到很多知识,1
虽然需要扣细节慢慢听，但内容真的不错,1
很好，我学到很多东西,1
学习好累，学到很开心。,1
提高了计算机操作水平，学习了以前没有接触到的计算机知识。,1
本课程教会了我如何使用计算机的一些基本技能和有用的方法。,1
找不到课堂讨论，为什么期末成绩只有百分20？那不考的人也能过？,0
讲的很好，收获很大！,1
讲得很详细，实训操作也比较有代入感,1
挺好的，弥补了我课堂上听不懂的区域,1
非常好，课程的体系结构十分合理，老师讲的十分清楚透彻，省的看大部头的书。,1
我觉得课程的设计非常好，内容非常多和仔细。很适合学生自习时使用，可以很好地预习和温习而且还设有解答，这是非常棒的,1
作为商学院的一名学生，我很有幸能参加本次课程的学习。虽然这门课对于文科的同学来说学起来比较吃力，但通过老师的细心讲解和演示，我受益匪浅，同时也获得了许多有关计算机方面的知识。我相信在本次课程中获得的计算机有关知识一定会在未来发挥重要的作用！谢谢老师！,1
太卡了，学了系统没有更新，说我们没有学,0
好好好，真的很好，让我学到了很多知识,1
讲的有些笼统，没有做到学科的深入化，把这些大多数是常识的东西给一名大三的学生来看在我看来不合适，太简单了,0
感谢战老师，这门课程帮助我从一个大的视角建立了对计算机学科整体的认识，搭建了一个系统的框架，再次感谢战老师及哈工大其他为这门课程付出的老师。,1
老是忘记去做,0
本课程非常简略，明了，学习特别轻松,1
这门课开拓了我的思维，让我收获了许多,1
纯粹照着念，后面还不给课件,0
讲解很到位，学到了很多东西,1
对同性恋问题，只提供负面信息，恶意引导学生的负面情绪，以培养学生对同性恋群体的厌恶！,0
讲的特别好，让我充分了解自己的知识，拓宽了知识面。,1
注册结构工程师报考年限作业答案有误,0
系统我真没话讲,0
系统反应太慢，我看完了视频说我没看，我很无奈,0
非常、非常、非常好！,1
分数构成极为不合理，平时考核总分151分，就因为错了一个选择题总成绩扣了我20分，说好的比重呢？视频也都看了，讨论也写了，所有题都做了，按你这设置期末满分应该是151*0.7+100*0.3,0
课程很充实，知识讲解很细致，学习方法多样化,1
老师讲的很好，但我感觉在听天书,0
学到了许多基础性的关于互联网的知识，拓展了视野,1
非常好 思路清晰 都是重点,1
知识结构有点杂，但是还是能收获到很多的,0
老师讲课没得灵魂,0
战教授讲得非常好，听了很受益。,1
获得了很多军事知识，收益颇丰。,1
这种形式上课非常新颖，我们听课的效果也不错，超级棒！,1
每次都有时间限制真的神烦，老是忘记。讨论也只能在电脑上做，一点也不方便。差评,0
老师讲了以后，我对计算机有了一个清晰的认识，很感谢老师，感谢慕课,1
思路很清晰！很容易听懂。,1
2020年11月24日，该课程被中华人民共和国教育部认定为“首批国家级一流本科课程”。希望计导越来越好。,1
不错，适合学习，拓展技能,1
都说桂电不错，我一看这个目录就知道确实牛,1
内容编排合理、讲课思路清晰、细节讲解完美,1
讲的太好了，强力推荐，清楚的明了程序是如何跑起来的。,1
老师讲的非常棒，细节讲解非常到位，重点突出。,1
非常好，学习了很多,1
最后的大考试太难了。。。这个论文并非针对用户的专业方向，所以个人的观点会有所偏颇并不合适,0
很详细，学到了很多哦,1
很好，很棒，很用心,1
